level,result,block_reached,total_length,time
level_714.txt,1,163,163,23
level_715.txt,1,172,172,24
level_716.txt,1,170,170,24
level_717.txt,1,178,178,26
level_718.txt,1,166,166,23
level_719.txt,1,162,162,22
level_720.txt,1,162,162,22
level_721.txt,1,172,172,25
level_722.txt,1,173,173,23
level_723.txt,1,165,165,23
level_724.txt,1,168,168,23
level_725.txt,1,166,166,23
level_726.txt,1,177,177,24
level_727.txt,0,116,156,45
level_728.txt,1,171,171,24
level_729.txt,1,173,173,25
level_730.txt,0,156,181,18
level_731.txt,1,163,163,23
level_732.txt,0,173,177,22
level_733.txt,1,163,163,23
level_734.txt,0,51,148,6
level_735.txt,1,177,177,23
level_736.txt,1,166,166,26
level_737.txt,1,160,160,24
level_738.txt,1,154,154,23
level_739.txt,1,154,154,23
level_740.txt,1,186,186,27
level_741.txt,1,166,166,24
level_742.txt,1,170,170,23
level_743.txt,1,201,201,26
level_744.txt,1,143,143,23
level_745.txt,1,154,154,22
level_746.txt,0,175,197,45
level_747.txt,1,176,176,24
level_748.txt,1,151,151,21
level_749.txt,1,167,167,24
level_750.txt,1,168,168,25
level_751.txt,1,164,164,23
level_752.txt,1,166,166,24
level_753.txt,1,182,182,26
level_754.txt,1,162,162,22
level_755.txt,1,161,161,22
level_756.txt,0,63,178,45
level_757.txt,1,148,148,21
level_758.txt,1,176,176,24
level_759.txt,1,150,150,22
level_760.txt,1,174,174,27
level_761.txt,1,171,171,25
level_762.txt,0,166,175,26
level_763.txt,1,146,146,24
level_764.txt,1,180,180,23
level_765.txt,1,166,166,24
level_766.txt,1,188,188,26
level_767.txt,1,116,116,21
level_768.txt,1,154,154,22
level_769.txt,1,187,187,26
level_770.txt,1,170,170,25
level_771.txt,1,186,186,28
level_772.txt,1,155,155,23
level_773.txt,1,176,176,24
level_774.txt,1,167,167,23
level_775.txt,1,158,158,23
level_776.txt,1,163,163,23
level_777.txt,0,50,166,45
level_778.txt,1,158,158,23
level_779.txt,1,178,178,24
level_780.txt,0,78,113,9
level_781.txt,1,175,175,25
level_782.txt,0,98,158,45
level_783.txt,1,171,171,23
level_784.txt,1,183,183,26
level_785.txt,1,184,184,25
level_786.txt,1,194,194,29
level_787.txt,0,96,175,45
level_788.txt,1,188,188,24
level_789.txt,0,161,186,21
level_790.txt,1,181,181,25
level_791.txt,0,140,156,45
level_792.txt,0,103,175,45
level_793.txt,0,69,177,10
level_794.txt,1,158,158,23
level_795.txt,1,178,178,26
level_796.txt,1,151,151,21
level_797.txt,1,152,152,21
level_798.txt,1,148,148,22
level_799.txt,1,168,168,23
level_800.txt,1,178,178,25
level_801.txt,1,171,171,24
level_802.txt,1,160,160,21
level_803.txt,1,192,192,26
level_804.txt,1,191,191,26
level_805.txt,1,147,147,22
level_806.txt,1,179,179,25
level_807.txt,1,178,178,25
level_808.txt,1,175,175,25
level_809.txt,1,160,160,22
level_810.txt,1,150,150,22
level_811.txt,1,175,175,23
level_812.txt,1,168,168,24
level_813.txt,0,169,174,17
level_814.txt,1,157,157,22
level_815.txt,1,191,191,27
level_816.txt,1,148,148,21
level_817.txt,1,155,155,24
level_818.txt,0,98,177,45
level_819.txt,1,155,155,21
level_820.txt,1,169,169,24
level_821.txt,1,154,154,23
level_822.txt,1,165,165,22
level_823.txt,1,176,176,23
level_824.txt,1,171,171,26
level_825.txt,1,144,144,32
level_826.txt,1,158,158,23
level_827.txt,1,147,147,21
level_828.txt,1,169,169,23
level_829.txt,0,190,192,21
level_830.txt,1,125,125,19
level_831.txt,0,51,182,45
level_832.txt,1,179,179,24
level_833.txt,0,105,165,45
level_834.txt,1,164,164,23
level_835.txt,1,158,158,22
level_836.txt,0,91,103,45
level_837.txt,1,166,166,23
level_838.txt,1,174,174,25
level_839.txt,0,61,167,45
level_840.txt,1,180,180,25
level_841.txt,0,175,181,45
level_842.txt,0,46,165,45
level_843.txt,1,138,138,21
level_844.txt,1,170,170,35
level_845.txt,1,170,170,23
level_846.txt,1,183,183,24
